PT08.S1(CO),PT08.S2(NMHC),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),Cluster_Assignment
1243.0,916.0,962.0,1669.0,657.0,2
1208.0,853.0,1060.0,1506.0,647.0,2
1306.0,938.0,961.0,1607.0,762.0,2
1546.0,1151.0,769.0,1874.0,1122.0,1
1501.0,1071.0,823.0,1744.0,1130.0,1
1605.0,1153.0,769.0,1840.0,1637.0,1
1316.0,974.0,883.0,1673.0,1272.0,2
1195.0,898.0,933.0,1594.0,1098.0,2
1211.0,896.0,920.0,1624.0,1066.0,2
1161.0,815.0,995.0,1582.0,909.0,2
1095.0,767.0,1050.0,1547.0,818.0,2
897.0,563.0,1417.0,1355.0,472.0,0
842.0,468.0,1813.0,1274.0,394.0,0
854.0,481.0,1756.0,1304.0,396.0,0
845.0,472.0,1786.0,1278.0,378.0,0
942.0,586.0,1480.0,1373.0,432.0,0
1090.0,768.0,1072.0,1538.0,699.0,0
1514.0,1230.0,732.0,1996.0,1252.0,1
1379.0,1252.0,711.0,1962.0,1237.0,1
1074.0,854.0,1032.0,1484.0,772.0,2
1090.0,868.0,1026.0,1509.0,766.0,2
1110.0,964.0,947.0,1577.0,829.0,2
1102.0,994.0,955.0,1599.0,783.0,2
1100.0,1021.0,952.0,1607.0,822.0,2
1094.0,1003.0,965.0,1574.0,813.0,2
1076.0,1034.0,964.0,1544.0,813.0,2
1152.0,1062.0,928.0,1606.0,850.0,2
1407.0,1249.0,720.0,1932.0,1276.0,1
1438.0,1325.0,678.0,1993.0,1401.0,1
1425.0,1325.0,678.0,1965.0,1356.0,1
1279.0,1131.0,775.0,1758.0,1243.0,2
1132.0,916.0,920.0,1561.0,1083.0,2
1006.0,729.0,1142.0,1370.0,795.0,0
982.0,700.0,1204.0,1359.0,735.0,0
969.0,636.0,1271.0,1309.0,684.0,0
941.0,621.0,1298.0,1330.0,714.0,0
892.0,522.0,1522.0,1285.0,456.0,0
855.0,478.0,1701.0,1261.0,401.0,0
834.0,459.0,1908.0,1212.0,361.0,0
909.0,567.0,1542.0,1287.0,418.0,0
1061.0,745.0,1178.0,1429.0,616.0,0
1441.0,1124.0,851.0,1829.0,1089.0,1
1498.0,1325.0,684.0,2095.0,1329.0,1
1343.0,1185.0,760.0,1857.0,1311.0,1
1308.0,1166.0,792.0,1794.0,1236.0,1
1209.0,1097.0,837.0,1746.0,1147.0,2
1310.0,1207.0,770.0,1847.0,1301.0,1
1171.0,1064.0,881.0,1639.0,1097.0,2
1112.0,980.0,924.0,1589.0,900.0,2
1132.0,927.0,944.0,1570.0,781.0,2
1225.0,1111.0,818.0,1719.0,1013.0,2
1065.0,953.0,962.0,1514.0,790.0,2
1236.0,1084.0,854.0,1688.0,1059.0,2
1309.0,1126.0,812.0,1722.0,1205.0,2
1089.0,884.0,1006.0,1487.0,975.0,2
1000.0,776.0,1141.0,1375.0,896.0,0
1041.0,782.0,1105.0,1425.0,911.0,0
1045.0,756.0,1137.0,1411.0,902.0,0
997.0,744.0,1151.0,1405.0,832.0,0
948.0,634.0,1320.0,1326.0,715.0,0
878.0,551.0,1493.0,1272.0,683.0,0
908.0,559.0,1477.0,1287.0,721.0,0
892.0,522.0,1572.0,1255.0,648.0,0
954.0,561.0,1496.0,1255.0,612.0,0
1045.0,751.0,1186.0,1403.0,800.0,0
1383.0,1109.0,832.0,1706.0,1173.0,2
1597.0,1395.0,652.0,2080.0,1519.0,1
1318.0,1124.0,762.0,1770.0,1287.0,1
1138.0,898.0,950.0,1505.0,966.0,2
1098.0,842.0,1012.0,1440.0,828.0,2
1118.0,927.0,959.0,1477.0,825.0,2
1170.0,1009.0,879.0,1566.0,872.0,2
1112.0,842.0,1015.0,1494.0,680.0,2
1390.0,1028.0,829.0,1730.0,1002.0,2
1353.0,1096.0,774.0,1783.0,1159.0,1
1260.0,1050.0,828.0,1722.0,979.0,2
1501.0,1302.0,681.0,2008.0,1311.0,1
1273.0,1130.0,795.0,1744.0,1071.0,2
1179.0,955.0,928.0,1571.0,899.0,2
1047.0,809.0,1064.0,1435.0,766.0,0
973.0,739.0,1186.0,1354.0,589.0,0
997.0,737.0,1168.0,1341.0,631.0,0
970.0,621.0,1400.0,1249.0,479.0,0
902.0,568.0,1450.0,1253.0,479.0,0
921.0,538.0,1564.0,1224.0,417.0,0
858.0,490.0,1707.0,1212.0,378.0,0
878.0,457.0,1935.0,1158.0,344.0,0
893.0,540.0,1604.0,1268.0,413.0,0
1038.0,697.0,1260.0,1383.0,605.0,0
1320.0,1035.0,902.0,1721.0,991.0,2
1353.0,1235.0,740.0,1937.0,1175.0,1
1133.0,933.0,969.0,1552.0,923.0,2
1066.0,849.0,1039.0,1468.0,829.0,2
1027.0,809.0,1081.0,1442.0,733.0,0
1106.0,935.0,958.0,1570.0,819.0,2
1038.0,907.0,976.0,1492.0,723.0,2
1084.0,924.0,986.0,1501.0,786.0,2
1105.0,982.0,939.0,1545.0,850.0,2
1102.0,957.0,968.0,1527.0,820.0,2
1240.0,1137.0,836.0,1748.0,991.0,2
1443.0,1418.0,666.0,2060.0,1454.0,1
1389.0,1341.0,692.0,1982.0,1488.0,1
1183.0,989.0,904.0,1539.0,1205.0,2
1014.0,798.0,1083.0,1376.0,909.0,0
979.0,736.0,1154.0,1324.0,769.0,0
1048.0,787.0,1098.0,1373.0,835.0,0
1024.0,753.0,1131.0,1357.0,793.0,0
974.0,690.0,1208.0,1313.0,733.0,0
862.0,561.0,1449.0,1219.0,502.0,0
925.0,602.0,1398.0,1263.0,562.0,0
952.0,654.0,1210.0,1312.0,832.0,0
1005.0,713.0,1130.0,1363.0,924.0,0
1122.0,842.0,1015.0,1438.0,974.0,2
1351.0,1201.0,783.0,1828.0,1307.0,1
1408.0,1278.0,682.0,1928.0,1481.0,1
1304.0,1142.0,772.0,1747.0,1405.0,1
1207.0,1098.0,826.0,1664.0,1195.0,2
1099.0,1014.0,948.0,1503.0,868.0,2
1106.0,1068.0,915.0,1535.0,874.0,2
1009.0,916.0,1015.0,1391.0,738.0,2
962.0,776.0,1152.0,1279.0,550.0,0
1093.0,933.0,976.0,1454.0,777.0,2
1180.0,1023.0,886.0,1588.0,966.0,2
1168.0,1037.0,868.0,1580.0,990.0,2
1168.0,1063.0,876.0,1540.0,944.0,2
1140.0,1000.0,916.0,1490.0,962.0,2
1001.0,811.0,1097.0,1308.0,778.0,0
953.0,743.0,1185.0,1252.0,690.0,0
972.0,715.0,1237.0,1258.0,644.0,0
1021.0,776.0,1144.0,1307.0,753.0,0
940.0,664.0,1290.0,1232.0,646.0,0
1046.0,736.0,1142.0,1312.0,838.0,0
1026.0,699.0,1191.0,1292.0,851.0,0
983.0,698.0,1209.0,1296.0,801.0,0
915.0,578.0,1417.0,1212.0,665.0,0
935.0,615.0,1373.0,1250.0,717.0,0
976.0,669.0,1270.0,1266.0,795.0,0
1124.0,842.0,1050.0,1418.0,936.0,2
1163.0,919.0,922.0,1530.0,1076.0,2
1167.0,966.0,942.0,1520.0,1016.0,2
1121.0,955.0,992.0,1451.0,834.0,2
1071.0,940.0,994.0,1449.0,756.0,2
1065.0,979.0,950.0,1467.0,766.0,2
1157.0,1072.0,888.0,1596.0,905.0,2
1046.0,883.0,1051.0,1357.0,765.0,0
1147.0,1042.0,934.0,1538.0,830.0,2
1119.0,1022.0,916.0,1508.0,853.0,2
1210.0,1062.0,886.0,1586.0,981.0,2
1306.0,1079.0,827.0,1621.0,1286.0,2
1258.0,1057.0,841.0,1633.0,1244.0,2
1148.0,930.0,948.0,1475.0,1056.0,2
1108.0,848.0,1023.0,1421.0,1003.0,2
1231.0,924.0,906.0,1483.0,1245.0,2
1293.0,937.0,930.0,1464.0,1200.0,2
1274.0,912.0,939.0,1451.0,1188.0,2
1135.0,827.0,1013.0,1395.0,1070.0,2
1151.0,911.0,935.0,1501.0,1075.0,2
1010.0,769.0,1110.0,1396.0,895.0,0
870.0,626.0,1325.0,1284.0,755.0,0
983.0,688.0,1251.0,1342.0,806.0,0
995.0,691.0,1219.0,1321.0,836.0,0
1024.0,747.0,1136.0,1382.0,897.0,0
1163.0,880.0,959.0,1486.0,1073.0,2
1218.0,938.0,918.0,1501.0,1088.0,2
1210.0,958.0,933.0,1514.0,1036.0,2
1114.0,887.0,1020.0,1438.0,768.0,2
995.0,796.0,1159.0,1287.0,587.0,0
927.0,700.0,1285.0,1189.0,452.0,0
1002.0,754.0,1189.0,1260.0,470.0,0
987.0,727.0,1213.0,1244.0,502.0,0
993.0,714.0,1217.0,1238.0,516.0,0
1012.0,746.0,1174.0,1301.0,555.0,0
1114.0,823.0,1068.0,1357.0,671.0,0
1093.0,789.0,1102.0,1329.0,788.0,0
968.0,669.0,1261.0,1246.0,538.0,0
960.0,666.0,1266.0,1224.0,544.0,0
942.0,648.0,1300.0,1204.0,500.0,0
888.0,598.0,1396.0,1156.0,417.0,0
818.0,524.0,1588.0,1071.0,341.0,0
840.0,509.0,1643.0,1076.0,352.0,0
894.0,524.0,1557.0,1095.0,397.0,0
864.0,516.0,1496.0,1153.0,502.0,0
898.0,559.0,1441.0,1180.0,648.0,0
946.0,643.0,1309.0,1232.0,760.0,0
1309.0,1125.0,844.0,1687.0,1183.0,2
1326.0,1289.0,714.0,1806.0,1431.0,1
966.0,786.0,1111.0,1258.0,705.0,0
975.0,793.0,1133.0,1254.0,637.0,0
988.0,803.0,1105.0,1293.0,658.0,0
971.0,786.0,1129.0,1272.0,546.0,0
1010.0,833.0,1070.0,1332.0,561.0,0
984.0,790.0,1131.0,1268.0,532.0,0
962.0,776.0,1131.0,1247.0,535.0,0
1012.0,801.0,1098.0,1289.0,525.0,0
1058.0,896.0,996.0,1358.0,603.0,0
1173.0,985.0,905.0,1477.0,802.0,2
1127.0,907.0,957.0,1404.0,796.0,2
1020.0,797.0,1066.0,1302.0,689.0,0
949.0,700.0,1221.0,1178.0,553.0,0
930.0,710.0,1278.0,1137.0,509.0,0
900.0,643.0,1339.0,1089.0,455.0,0
899.0,630.0,1418.0,1050.0,425.0,0
866.0,569.0,1468.0,1055.0,436.0,0
900.0,563.0,1402.0,1130.0,618.0,0
949.0,540.0,1457.0,1104.0,747.0,0
897.0,529.0,1462.0,1101.0,693.0,0
956.0,605.0,1341.0,1117.0,691.0,0
1054.0,779.0,1080.0,1266.0,1013.0,0
1343.0,1096.0,839.0,1587.0,1311.0,2
1584.0,1399.0,642.0,1947.0,1675.0,1
1556.0,1337.0,674.0,1852.0,1689.0,1
1565.0,1324.0,695.0,1872.0,1688.0,1
1429.0,1251.0,734.0,1754.0,1548.0,1
1419.0,1267.0,742.0,1763.0,1490.0,1
1373.0,1213.0,791.0,1711.0,1354.0,1
1185.0,992.0,942.0,1448.0,1014.0,2
1122.0,897.0,991.0,1372.0,831.0,2
1085.0,820.0,1060.0,1325.0,699.0,0
1249.0,968.0,874.0,1527.0,926.0,2
1236.0,962.0,853.0,1532.0,928.0,2
1334.0,1047.0,815.0,1638.0,1038.0,2
1264.0,928.0,884.0,1534.0,1035.0,2
1073.0,746.0,1072.0,1360.0,789.0,0
1053.0,701.0,1147.0,1323.0,692.0,0
1098.0,747.0,1094.0,1360.0,764.0,0
1029.0,702.0,1180.0,1287.0,639.0,0
973.0,631.0,1287.0,1240.0,541.0,0
972.0,639.0,1222.0,1256.0,678.0,0
832.0,496.0,1613.0,1066.0,381.0,0
851.0,477.0,1699.0,1064.0,343.0,0
909.0,545.0,1473.0,1131.0,436.0,0
1038.0,684.0,1220.0,1279.0,688.0,0
1636.0,1168.0,721.0,1926.0,1438.0,1
1580.0,1295.0,639.0,1957.0,1489.0,1
1262.0,924.0,872.0,1576.0,1093.0,2
1197.0,837.0,957.0,1498.0,965.0,2
1277.0,886.0,902.0,1579.0,1004.0,2
1430.0,1025.0,779.0,1772.0,1166.0,1
1242.0,944.0,846.0,1638.0,991.0,2
1349.0,1023.0,804.0,1748.0,1054.0,2
1390.0,1100.0,755.0,1799.0,1192.0,1
1224.0,980.0,850.0,1637.0,1055.0,2
1253.0,1026.0,810.0,1681.0,1048.0,2
1312.0,1041.0,821.0,1712.0,1073.0,2
1254.0,1033.0,819.0,1669.0,1068.0,2
1198.0,953.0,882.0,1588.0,1019.0,2
1060.0,787.0,1044.0,1418.0,833.0,0
1050.0,769.0,1078.0,1409.0,759.0,0
1029.0,754.0,1098.0,1395.0,749.0,0
1143.0,825.0,986.0,1477.0,978.0,2
1044.0,770.0,1031.0,1425.0,944.0,2
1034.0,716.0,1085.0,1405.0,891.0,0
956.0,713.0,1099.0,1422.0,849.0,0
909.0,615.0,1237.0,1322.0,790.0,0
996.0,648.0,1176.0,1340.0,852.0,0
1154.0,876.0,1002.0,1561.0,987.0,2
1510.0,1291.0,675.0,1949.0,1435.0,1
1722.0,1595.0,539.0,2439.0,1798.0,1
1512.0,1323.0,631.0,2001.0,1677.0,1
1258.0,1040.0,800.0,1701.0,1282.0,2
1094.0,850.0,970.0,1489.0,871.0,2
1129.0,875.0,974.0,1524.0,759.0,2
1125.0,924.0,937.0,1542.0,790.0,2
1308.0,1193.0,793.0,1193.0,1187.0,2
1529.0,1331.0,700.0,2028.0,1399.0,1
1592.0,1429.0,624.0,2089.0,1644.0,1
1536.0,1302.0,666.0,1922.0,1599.0,1
1192.0,1007.0,827.0,1604.0,1223.0,2
1186.0,976.0,844.0,1570.0,1200.0,2
1203.0,920.0,898.0,1529.0,1118.0,2
1139.0,899.0,921.0,1514.0,1067.0,2
1072.0,795.0,986.0,1442.0,1048.0,2
954.0,667.0,1180.0,1350.0,718.0,0
951.0,673.0,1137.0,1381.0,797.0,0
926.0,638.0,1195.0,1342.0,749.0,0
968.0,628.0,1197.0,1372.0,737.0,0
1067.0,727.0,1055.0,1448.0,903.0,0
1386.0,1083.0,798.0,1833.0,1159.0,1
1474.0,1306.0,634.0,2060.0,1365.0,1
1569.0,1316.0,634.0,2054.0,1510.0,1
1375.0,1177.0,706.0,1898.0,1386.0,1
1328.0,1123.0,738.0,1821.0,1368.0,1
1341.0,1176.0,748.0,1825.0,1347.0,1
1297.0,1183.0,765.0,1773.0,1242.0,1
1303.0,1139.0,790.0,1761.0,1138.0,2
1281.0,1116.0,809.0,1703.0,1080.0,2
1248.0,1103.0,872.0,1632.0,1002.0,2
1382.0,1288.0,778.0,1799.0,1212.0,1
1491.0,1385.0,685.0,1915.0,1486.0,1
1620.0,1407.0,641.0,2052.0,1567.0,1
